Commit Message,Category
"	NIO Reads writes are completed in the caller thered;
	100% compatible with old interface and functionality.
	Each connection has an instance of this object to
	receive data for a message in multiple OP_READ events.
",functional
"  * temporary fix for non-shared JArray objects
  * added generic unittests to check jcc/lucene/solr/montysolr functionality
  * wrote unittest for newseman (it does a complete processing from python side)
    - now what remains is to call it from java
    - decide on proper behaviour for cases when tokens are added/grouped
",bugfix
" * Java:
   * Added RCON functionality for Source servers:
     * Added steamcondenser.steam.packets.rcon package
     * Added RCONAuthRequestPacket
     * Added RCONAuthResponsePacket
     * Added RCONExecRequestPacket
     * Added RCONExecResponsePacket
     * Added RCONPacket
     * Added RCONNoAuthException
   * Split SteamSocket into QuerySocket and RCONSocket
   * Stub functionality for GoldSrc servers
     * GoldSrc uses UDP and needs a special implementation
   * Added tests
",functional
" - Merge changes from Pull-Request #6 	 - Fix aggregation generation and cleanup dead code  - Update dependencies versions",code smell
 Bug 233643 -  API builder performance bad for incremental build,external
" Deleted obsolete / dead code. - Started a heavy refactoring of the ServiceDescriptionFactory class in order to make it a ""fail fast"" factory to avoid any runtime errors due to misconfiguration.",code smell
 ItEr17S10CUCreacionProxectoPlanificacionItEr16S12: Removing Bean sufix to data classes. To avoid name collisions with the components of the same name  Component is appended.,code smell
 Removed lots of duplicate code  better error reporting due to another logger for traces,code smell
 Rename *.new* packages back to what they should be  remove dead code  from the old packages - mapreduce module - tez-engine module (part of  TEZ-398). (sseth),code smell
 You can now resize the browser size and the screenshots in the reports using the thucydides.browser.width parameter.,internal
#10  #17  #18 Improved test coverage  fixed test cases and bugs revealed by tests  increased performance and improved visitors,external
#135:  Comments InheritanceCompatibilityChecker,internal
#136 Reduce cyclomatic complexity,internal
"#27: ComparatorTypes now accepts 'reversed' qualifiers.

- ComparatorTypes now accepts 'reversed' qualifiers for both simple and
composite types.
- Added unit tests to cover these new features.
- Added integration tests to cover these new features.

See also: https://github.com/jsevellec/cassandra-unit/issues/27

Signed-off-by: Marc CARR+? <carre.marc@gmail.com>
",functional
#305 Modularize logic / separate from data classes (wip – doesn't compile),code smell
"#32 Abnormal execution result if the script has a null character(0x0)

Fixed this bug to be trimmed null characters while saving a script.
But, I didn't consider to handle this when compile a script, so this
fixed didn't be a solution if there has already included a null
character in a script.
",bugfix
"#49 first complete implementation of the HeadlessMapProvider and the required adoptions of the methods getFeatureImage and getImageOfFeatures of the MappingComponent
",functional
#589 - ElasticSearch  Transaction - rename DocStoreMode and batch size methods,internal
#675 refactored the Options/Metadata classes so they can be deserialised in AbstractDataStore; so we can killed containers now,code smell
